,Location,Wait
0,196 Albany,No Wait Time
1,Bensonhurst 14th Avenue,Not Reported Yet
2,CU Woodside Houses CHC,Not Reported Yet
3,Harlem Hospital Center,Not Reported Yet
4,Lincoln Medical Center,Not Reported Yet
5,Old Broadway,Not Reported Yet
6,4101 White Plains Road,Not Reported Yet
7,Brooklyn Army Terminal,Not Reported Yet
8,Cumberland Dtc,Not Reported Yet
9,Highbridge Pool,Not Reported Yet
10,Mariners Harbor Library,No Wait Time
11,Queens Hospital Center,"<
 
90 Minutes"
12,57 Cleveland Place,"<
 
30 Minutes"
13,Canarsie Municipal Lot,Not Reported Yet
14,Edward Grant,Not Reported Yet
15,Jacobi Medical Center,Not Reported Yet
16,Metropolitan Hospital ...,Not Reported Yet
17,Rain Boston Road Senio...,Not Reported Yet
18,Bathgate Contract Post...,Not Reported Yet
19,CI Ida G Israel Chc,Not Reported Yet
20,Elmhurst Hospital Center,"<
 
30 Minutes"
21,JFK Airport,Not Reported Yet
22,Midwood,Not Reported Yet
23,Red Hook Recreaonal ...,Not Reported Yet
24,Bay Ridge 5th Avenue,Not Reported Yet
25,Co-op City Retail Space,Not Reported Yet
26,EY East New York DTC,Not Reported Yet
27,Kew Gardens,Not Reported Yet
28,Morrisania Diagnosc ...,Not Reported Yet
29,Sorrenno Recreaona...,Not Reported Yet
30,Beach 39th,"<
 
90 Minutes"
31,Coney Island Hospital ...,Not Reported Yet
32,Fort Hamilton,"<
 
60 Minutes"
33,Kings County Hospital ...,Not Reported Yet
34,Mt. Lore(cid:425)o,Not Reported Yet
35,St. Albans,"<
 
30 Minutes"
36,Bellevue Hospital Center,Not Reported Yet
37,CU Jonathan Williams C...,Not Reported Yet
38,Gouverneur Healthcare,Not Reported Yet
39,LaGuardia Airport,Not Reported Yet
40,North Central Bronx Ho...,Not Reported Yet
41,St. George Ferry Termi...,"<
 
2 Hours"
42,Belvis Diagnosc & Tr...,Not Reported Yet
43,CU Vanderbilt,Not Reported Yet
44,Greenbelt Recreaonal...,Not Reported Yet
45,Leﬀerts,Not Reported Yet
46,Northern Boulevard,Not Reported Yet
47,St. James Recreaonal...,Not Reported Yet
