,Location,Wait,Time Window,Scrape Timestamp
0,,,,2020-12-01 15:35:00.944933
1,,,,2020-12-01 15:35:00.944933
2,,,,2020-12-01 15:35:00.944933
3,,,,2020-12-01 15:35:00.944933
4,,,,2020-12-01 15:35:00.944933
5,196 Albany,No Wait Time,,2020-12-01 15:35:00.944933
6,Bensonhurst 14th Avenue,Not Reported Yet,,2020-12-01 15:35:00.944933
7,CU Woodside Houses CHC,Not Reported Yet,,2020-12-01 15:35:00.944933
8,Harlem Hospital Center,Not Reported Yet,,2020-12-01 15:35:00.944933
9,Lincoln Medical Center,Not Reported Yet,,2020-12-01 15:35:00.944933
10,Old Broadway,Not Reported Yet,,2020-12-01 15:35:00.944933
11,Starret City,No Wait Time,,2020-12-01 15:35:00.944933
12,,,,2020-12-01 15:35:00.944933
13,,,,2020-12-01 15:35:00.944933
14,,T,,2020-12-01 15:35:00.944933
15,,,,2020-12-01 15:35:00.944933
16,,,,2020-12-01 15:35:00.944933
17,4101 White Plains Road,Not Reported Yet,,2020-12-01 15:35:00.944933
18,Brooklyn Army Terminal,< 30 Minutes,,2020-12-01 15:35:00.944933
19,Cumberland Dtc,Not Reported Yet,,2020-12-01 15:35:00.944933
20,Highbridge Pool,Not Reported Yet,,2020-12-01 15:35:00.944933
21,Mariners Harbor Library,No Wait Time,,2020-12-01 15:35:00.944933
22,Queens Hospital Center,< 90 Minutes,,2020-12-01 15:35:00.944933
23,SY Dyckman Lcdla,Not Reported Yet,,2020-12-01 15:35:00.944933
24,,,,2020-12-01 15:35:00.944933
25,,,,2020-12-01 15:35:00.944933
26,,his dashboard is refreshed at 15 minute intervals and displays es(cid:415)mated wait (cid:415)mes for NYC Health + Hospitals COVID-19 tes(cid:415)ng loca(cid:415)ons that are updated by site staﬀ every two hours.,,2020-12-01 15:35:00.944933
27,Conﬁdential and dra(cid:332). This dashboard displays continuously-updated raw data and should be interpreted in the context of other available information. See terms of use.,,,2020-12-01 15:35:00.944933
28,,,,2020-12-01 15:35:00.944933
29,57 Cleveland Place,< 30 Minutes,,2020-12-01 15:35:00.944933
30,Canarsie Municipal Lot,Not Reported Yet,,2020-12-01 15:35:00.944933
31,Edward Grant,Not Reported Yet,,2020-12-01 15:35:00.944933
32,Jacobi Medical Center,Not Reported Yet,,2020-12-01 15:35:00.944933
33,Metropolitan Hospital ...,Not Reported Yet,,2020-12-01 15:35:00.944933
34,Rain Boston Road Senio...,Not Reported Yet,,2020-12-01 15:35:00.944933
35,SY St. Nicholas Chc,Not Reported Yet,,2020-12-01 15:35:00.944933
36,,,,2020-12-01 15:35:00.944933
37,Refresh Timestamp:,,,2020-12-01 15:35:00.944933
38,12/1/2020 10:15:05 AM,,,2020-12-01 15:35:00.944933
39,,S,,2020-12-01 15:35:00.944933
40,10:00 AM - 11:59 AM,12/1/2020 | 10:00 AM - 11:59 AM,,2020-12-01 15:35:00.944933
41,Bathgate Contract Post...,Not Reported Yet,,2020-12-01 15:35:00.944933
42,CI Ida G Israel Chc,Not Reported Yet,,2020-12-01 15:35:00.944933
43,Elmhurst Hospital Center,Not Reported Yet,,2020-12-01 15:35:00.944933
44,JFK Airport,Not Reported Yet,,2020-12-01 15:35:00.944933
45,Midwood,< 90 Minutes,,2020-12-01 15:35:00.944933
46,Red Hook Recreational ...,No Wait Time,,2020-12-01 15:35:00.944933
47,Sydenham,Not Reported Yet,,2020-12-01 15:35:00.944933
48,COVID-19 Testing Wait Times,,,2020-12-01 15:35:00.944933
49,,,,2020-12-01 15:35:00.944933
50,,,,2020-12-01 15:35:00.944933
51,,elect a Two-Hour Window,,2020-12-01 15:35:00.944933
52,,,,2020-12-01 15:35:00.944933
53,Bay Ridge 5th Avenue,Not Reported Yet,,2020-12-01 15:35:00.944933
54,Co-op City Retail Space,Not Reported Yet,,2020-12-01 15:35:00.944933
55,EY East New York DTC,Not Reported Yet,,2020-12-01 15:35:00.944933
56,Kew Gardens,Not Reported Yet,,2020-12-01 15:35:00.944933
57,Morrisania Diagnostic ...,Not Reported Yet,,2020-12-01 15:35:00.944933
58,Sorrentino Recreationa...,Not Reported Yet,,2020-12-01 15:35:00.944933
59,Sydenham Health Center,Not Reported Yet,,2020-12-01 15:35:00.944933
60,,,,2020-12-01 15:35:00.944933
61,,,,2020-12-01 15:35:00.944933
62,,,,2020-12-01 15:35:00.944933
63,,,,2020-12-01 15:35:00.944933
64,,,,2020-12-01 15:35:00.944933
65,Beach 39th,< 90 Minutes,,2020-12-01 15:35:00.944933
66,Coney Island Hospital ...,Not Reported Yet,,2020-12-01 15:35:00.944933
67,Fort Hamilton,< 60 Minutes,,2020-12-01 15:35:00.944933
68,Kings County Hospital ...,< 30 Minutes,,2020-12-01 15:35:00.944933
69,Mt. Loretto,Not Reported Yet,,2020-12-01 15:35:00.944933
70,St. Albans,Not Reported Yet,,2020-12-01 15:35:00.944933
71,Tremont Community Heal...,Not Reported Yet,,2020-12-01 15:35:00.944933
72,,,,2020-12-01 15:35:00.944933
73,,,,2020-12-01 15:35:00.944933
74,,,,2020-12-01 15:35:00.944933
75,,,,2020-12-01 15:35:00.944933
76,,,,2020-12-01 15:35:00.944933
77,Bellevue Hospital Center,Not Reported Yet,,2020-12-01 15:35:00.944933
78,CU Jonathan Williams C...,Not Reported Yet,,2020-12-01 15:35:00.944933
79,Gouverneur Healthcare,Not Reported Yet,,2020-12-01 15:35:00.944933
80,LaGuardia Airport,No Wait Time,,2020-12-01 15:35:00.944933
81,North Central Bronx Ho...,Not Reported Yet,,2020-12-01 15:35:00.944933
82,St. George Ferry Termi...,< 90 Minutes,,2020-12-01 15:35:00.944933
83,Windsor Park Library,< 30 Minutes,,2020-12-01 15:35:00.944933
84,,COVID-19Intelligence@nychhc.org with,,2020-12-01 15:35:00.944933
85,,ques(cid:415)ons or comments.,,2020-12-01 15:35:00.944933
86,,,,2020-12-01 15:35:00.944933
87,,,,2020-12-01 15:35:00.944933
88,,,,2020-12-01 15:35:00.944933
89,Belvis Diagnostic & Tr...,Not Reported Yet,,2020-12-01 15:35:00.944933
90,CU Vanderbilt,Not Reported Yet,,2020-12-01 15:35:00.944933
91,Greenbelt Recreational...,Not Reported Yet,,2020-12-01 15:35:00.944933
92,Leﬀerts,Not Reported Yet,,2020-12-01 15:35:00.944933
93,Northern Boulevard,< 60 Minutes,,2020-12-01 15:35:00.944933
94,St. James Recreational...,Not Reported Yet,,2020-12-01 15:35:00.944933
95,Woodhull Medical Center,Not Reported Yet,,2020-12-01 15:35:00.944933
