,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
1,Bensonhurst 14th Avenue,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
2,CU Woodside Houses CHC,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
3,Harlem Hospital Center,30-60 Minutes,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
4,Lincoln Medical Center,No Wait Time,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
5,4101 White Plains Road,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
6,Brooklyn Army Terminal,0-30 Minutes,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
7,Cumberland Dtc,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
8,Highbridge Pool,30-60 Minutes,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
9,Mariners Harbor Library,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
10,57 Cleveland Place,0-30 Minutes,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
11,Canarsie Municipal Lot,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
12,Edward Grant,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
13,Jacobi Medical Center,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
14,Metropolitan Hospital ...,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
15,Bathgate Contract Post...,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
16,CI Ida G Israel Chc,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
17,Elmhurst Hospital Center,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
18,JFK Airport,No Wait Time,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
19,Midwood,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
20,Bay Ridge 5th Avenue,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
21,Co-op City Retail Space,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
22,EY East New York DTC,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
23,Kew Gardens,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
24,Morrisania Diagnostic ...,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
25,Beach 39th,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
26,Coney Island Hospital ...,30-60 Minutes,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
27,Fort Hamilton,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
28,Kings County Hospital ...,0-30 Minutes,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
29,Mt. Loretto,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
30,Bellevue Hospital Center,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
31,CU Jonathan Williams C...,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
32,Gouverneur Healthcare,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
33,LaGuardia Airport,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
34,North Central Bronx Ho...,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
35,Belvis Diagnostic & Tr...,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
36,CU Vanderbilt,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
37,Greenbelt Recreational...,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
38,Leﬀerts,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
39,Northern Boulevard,Not Reported Yet,"12-2-2020,  8:00 AM - 9:59 AM",2020-12-02 14:11:09.198651
