,Location,Wait,Time Window,Scrape Timestamp
0,196 Albany,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
1,Bensonhurst 14th Avenue,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
2,CU Woodside Houses CHC,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
3,Harlem Hospital Center,No Wait Time,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
4,Last Reported at: 8:05AM,Lincoln Medical Center,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
5,0-30 Minutes,Last Reported at: 8:09AM,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
6,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
7,Brooklyn Army Terminal,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
8,Cumberland Dtc,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
9,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
10,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
11,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
12,57 Cleveland Place,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
13,Canarsie Municipal Lot,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
14,Edward Grant,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
15,Jacobi Medical Center,30-60 Minutes,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
16,Last Reported at: 8:16AM,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
17,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
18,Bathgate Contract Post...,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
19,CI Ida G Israel Chc,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
20,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
21,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
22,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
23,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
24,Bay Ridge 5th Avenue,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
25,Co-op City Retail Space,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
26,EY East New York DTC,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
27,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
28,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
29,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
30,Beach 39th,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
31,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
32,Fort Hamilton,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
33,Kings County Hospital ...,0-30 Minutes,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
34,Last Reported at: 8:12AM,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
35,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
36,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
37,CU Jonathan Williams C...,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
38,Gouverneur Healthcare,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
39,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
40,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
41,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
42,Belvis Diagnostic & Tr...,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
43,CU Vanderbilt,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
44,Greenbelt Recreational...,Not Reported Yet,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
45,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
46,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
47,,,"12-4-2020,  8:00 AM - 9:59 AM",2020-12-04 13:26:18.045314
