,Location,Wait
0,Last Reported Time:,
1,Last Reported Time: 12:24 PM,
2,Last Reported Time:,
3,Last Reported Time:,
4,Bensonhurst 14th Avenue,30-60 Minutes
5,Brooklyn Army Terminal,Not Reported Yet
6,Canarsie Municipal Lot,No Wait Time*
7,CI Ida G Israel Chc,Not Reported Yet
8,Last Reported Time: 11:59 AM,
9,Last Reported Time:,
10,Last Reported Time: 1:31 PM,
11,Last Reported Time:,
12,CU Woodside Houses CHC,Not Reported Yet
13,Cumberland Dtc,Not Reported Yet
14,Edward Grant,Not Reported Yet
15,Elmhurst Hospital Cent...,0-30 Minutes
16,Last Reported Time:,
17,Last Reported Time:,
18,Last Reported Time:,
19,Last Reported Time: 12:04 PM,
20,Harlem Hospital Center,No Wait Time
21,Highbridge Pool,30-60 Minutes*
22,Jacobi Medical Center,0-30 Minutes
23,JFK Airport,0-30 Minutes
24,Last Reported Time: 12:08 PM,
25,Last Reported Time: 10:20 AM,
26,Last Reported Time: 1:34 PM,
27,Last Reported Time: 12:34 PM,
28,Lincoln Medical Center,0-30 Minutes
29,Mariners Harbor Library,0-30 Minutes
30,Metropolitan Hospital ...,30-60 Minutes*
31,Midwood,30-60 Minutes
