,Location,Wait,Last Updated
0,196 Albany,Not Reported Yet,Last Reported Time:
1,4101 White Plains Road,0-30 Minutes,Last Reported Time: 2:48 PM
2,57 Cleveland Place,Not Reported Yet,Last Reported Time:
3,Bathgate Contract Post...,Not Reported Yet,Last Reported Time:
4,Bay Ridge 5th Avenue,0-30 Minutes*,Last Reported Time: 1:33 PM
5,Beach 39th,30-60 Minutes*,Last Reported Time: 12:40 PM
6,Bellevue Hospital Cent...,0-30 Minutes,Last Reported Time: 2:11 PM
7,Belvis Diagnostic & Tr...,Not Reported Yet,Last Reported Time:
8,Bensonhurst 14th Avenue,30-60 Minutes,Last Reported Time: 1:59 PM
9,Brooklyn Army Terminal,Not Reported Yet,Last Reported Time:
10,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 1:31 PM
11,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:
12,Co-op City Retail Space,0-30 Minutes,Last Reported Time: 2:20 PM
13,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:
14,CU Jonathan Williams C...,Not Reported Yet,Last Reported Time:
15,CU Vanderbilt,Not Reported Yet,Last Reported Time:
16,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:
17,Cumberland Dtc,Not Reported Yet,Last Reported Time:
18,Edward Grant,Not Reported Yet,Last Reported Time:
19,Elmhurst Hospital Cent...,30-60 Minutes,Last Reported Time: 2:18 PM
20,EY East New York DTC,Not Reported Yet,Last Reported Time:
21,Fort Hamilton,Not Reported Yet,Last Reported Time:
22,Gouverneur Healthcare,Not Reported Yet,Last Reported Time:
23,Greenbelt Recreational...,1-1.5 Hours*,Last Reported Time: 10:02 AM
24,Harlem Hospital Center,No Wait Time*,Last Reported Time: 12:08 PM
25,Highbridge Pool,1-1.5 Hours,Last Reported Time: 2:19 PM
26,Jacobi Medical Center,0-30 Minutes,Last Reported Time: 2:02 PM
27,JFK Airport,0-30 Minutes,Last Reported Time: 2:01 PM
28,Kew Gardens,1.5-2 Hours*,Last Reported Time: 1:54 PM
29,Kings County Hospital ...,0-30 Minutes,Last Reported Time: 2:27 PM
30,LaGuardia Airport,Not Reported Yet,Last Reported Time:
31,Lefferts,30-60 Minutes,Last Reported Time: 2:45 PM
32,Lincoln Medical Center,No Wait Time,Last Reported Time: 2:01 PM
33,Mariners Harbor Library,0-30 Minutes*,Last Reported Time: 1:23 PM
34,Metropolitan Hospital ...,30-60 Minutes,Last Reported Time: 2:00 PM
35,Midwood,30-60 Minutes,Last Reported Time: 2:08 PM
36,Morrisania Diagnostic ...,30-60 Minutes*,Last Reported Time: 1:56 PM
37,Mt. Loretto,1.5-2 Hours,Last Reported Time: 2:36 PM
38,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:
39,Northern Boulevard,30-60 Minutes*,Last Reported Time: 12:39 PM
40,Old Broadway,No Wait Time*,Last Reported Time: 12:35 PM
41,Queens Hospital Center,30-60 Minutes,Last Reported Time: 2:02 PM
42,Rain Boston Road Senio...,No Wait Time,Last Reported Time: 2:15 PM
43,Red Hook Recreational ...,Not Reported Yet,Last Reported Time:
44,Sorrentino Recreationa...,Not Reported Yet,Last Reported Time:
45,St. Albans,No Wait Time*,Last Reported Time: 12:41 PM
46,St. George Ferry Termi...,1-1.5 Hours,Last Reported Time: 2:39 PM
47,St. James Recreational...,1.5-2 Hours,Last Reported Time: 2:48 PM
48,Starret City,0-30 Minutes,Last Reported Time: 2:17 PM
49,SY Dyckman Lcdla,Not Reported Yet,Last Reported Time:
50,SY St. Nicholas Chc,Not Reported Yet,Last Reported Time:
51,Sydenham,Not Reported Yet,Last Reported Time:
52,Sydenham Health Center,Not Reported Yet,Last Reported Time:
53,Tremont Community Heal...,Not Reported Yet,Last Reported Time:
54,Windsor Park Library,30-60 Minutes*,Last Reported Time: 1:39 PM
55,Woodhull Medical Center,Not Reported Yet,Last Reported Time:
