,Location,Wait,Last Updated,Scrape Timestamp
0,196 Albany,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
1,4101 White Plains Road,No Wait Time,Last Reported Time: 9:29 AM,2021-02-21 14:42:04.088689
2,57 Cleveland Place,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
3,Bay Ridge 5th Avenue,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
4,Beach 39th,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
5,Bellevue Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
6,Belvis Diagnostic & Tr...,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
7,Bensonhurst 14th Avenue,No Wait Time,Last Reported Time: 8:10 AM,2021-02-21 14:42:04.088689
8,Canarsie Municipal Lot,No Wait Time,Last Reported Time: 9:12 AM,2021-02-21 14:42:04.088689
9,CI Ida G Israel Chc,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
10,Co-op City Retail Space,No Wait Time,Last Reported Time: 9:39 AM,2021-02-21 14:42:04.088689
11,Coney Island Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
12,CU Homecrest,0-30 Minutes,Last Reported Time: 9:30 AM,2021-02-21 14:42:04.088689
13,CU Jonathan Williams C...,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
14,CU Vanderbilt,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
15,CU Woodside Houses CHC,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
16,Cumberland Dtc,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
17,Edward Grant,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
18,Elmhurst Hospital Cent...,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
19,EY East New York DTC,No Wait Time,Last Reported Time: 8:53 AM,2021-02-21 14:42:04.088689
20,Fort Hamilton,No Wait Time,Last Reported Time: 8:27 AM,2021-02-21 14:42:04.088689
21,Gouverneur Healthcare,No Wait Time,Last Reported Time: 9:33 AM,2021-02-21 14:42:04.088689
22,Greenbelt Recreational...,30-60 Minutes,Last Reported Time: 9:28 AM,2021-02-21 14:42:04.088689
23,Harlem Hospital Center,0-30 Minutes,Last Reported Time: 9:36 AM,2021-02-21 14:42:04.088689
24,Highbridge Pool,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
25,Jacobi Medical Center,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
26,JFK Airport,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
27,Kew Gardens,No Wait Time,Last Reported Time: 9:02 AM,2021-02-21 14:42:04.088689
28,Kings County Hospital ...,No Wait Time,Last Reported Time: 9:14 AM,2021-02-21 14:42:04.088689
29,LaGuardia Airport,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
30,Lefferts,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
31,Lincoln Medical Center,No Wait Time,Last Reported Time: 9:30 AM,2021-02-21 14:42:04.088689
32,Mariners Harbor Library,No Wait Time,Last Reported Time: 9:17 AM,2021-02-21 14:42:04.088689
33,Metropolitan Hospital ...,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
34,Midwood,0-30 Minutes,Last Reported Time: 8:43 AM,2021-02-21 14:42:04.088689
35,Morrisania Diagnostic ...,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
36,Mt. Loretto,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
37,North Central Bronx Ho...,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
38,Northern Boulevard,Not Reported Yet,Last Reported Time:,2021-02-21 14:42:04.088689
